"geometry",".tidygraph_node_index"
c(10.1867333, 56.1435672),1
c(10.1874781, 56.1431619),NA
c(10.1876279, 56.1430767),2
c(10.2020089, 56.1716015),3
c(10.2018968, 56.1715589),NA
c(10.201862, 56.1715457),NA
c(10.2009166, 56.1717001),NA
c(10.2007987, 56.1717182),NA
c(10.1993433, 56.1719422),4
c(10.2041343, 56.1598853),5
c(10.2042013, 56.1596452),NA
c(10.2043227, 56.158856),6
c(10.2052163, 56.1529833),7
c(10.2056518, 56.1534662),NA
c(10.205819, 56.1536309),NA
c(10.2063479, 56.1541518),NA
c(10.2075014, 56.1552895),NA
c(10.2076202, 56.1553784),NA
c(10.2079563, 56.1556408),8
c(10.1963705, 56.1606569),9
c(10.1963889, 56.1607437),NA
c(10.1965088, 56.1613613),NA
c(10.1965392, 56.1615103),NA
c(10.1968688, 56.1631244),NA
c(10.1968743, 56.1631874),NA
c(10.1969698, 56.1636322),NA
c(10.1971049, 56.1641928),10
c(10.2011487, 56.153678),11
c(10.2000311, 56.1542466),NA
c(10.1999478, 56.1543232),NA
c(10.1996786, 56.1546306),12
c(10.2022923, 56.1504099),13
c(10.2013993, 56.1504401),NA
c(10.2012001, 56.1504485),NA
c(10.2002898, 56.150497),14
c(10.1834913, 56.1775952),15
c(10.1832849, 56.1777946),NA
c(10.1831519, 56.1778463),NA
c(10.1829082, 56.1776939),16
c(10.1839651, 56.1775375),17
c(10.1839143, 56.1774766),NA
c(10.1838964, 56.1774359),NA
c(10.1830172, 56.1749522),NA
c(10.1830013, 56.1749048),NA
c(10.1829482, 56.1747469),NA
c(10.1828958, 56.1746843),18
c(10.1842634, 56.1465464),19
c(10.1846261, 56.1462081),NA
c(10.1851235, 56.1457041),NA
c(10.185618, 56.1452144),NA
c(10.1858695, 56.1449716),NA
c(10.1861104, 56.1447619),NA
c(10.186727, 56.1442903),NA
c(10.1872709, 56.1438753),20
c(10.1985858, 56.1707037),21
c(10.1984832, 56.1706807),NA
c(10.1982635, 56.1706314),NA
c(10.1915901, 56.1681965),22
c(10.1835177, 56.1498099),23
c(10.1848342, 56.1479712),NA
c(10.1853459, 56.1472445),24
c(10.1800615, 56.1444587),25
c(10.1803418, 56.1446382),NA
c(10.1812993, 56.1451385),NA
c(10.1822537, 56.1456373),NA
c(10.1825874, 56.1458117),NA
c(10.1831801, 56.1460815),NA
c(10.1844026, 56.1466039),NA
c(10.1846252, 56.1466958),NA
c(10.1848889, 56.1468048),26
c(10.1843698, 56.1745767),27
c(10.1844303, 56.1747254),NA
c(10.1848676, 56.175834),NA
c(10.1853848, 56.1771832),NA
c(10.1853924, 56.1772031),NA
c(10.1854131, 56.1772671),28
c(10.1862088, 56.1755995),30
c(10.1922493, 56.1796512),31
c(10.1921541, 56.1793),NA
c(10.1921026, 56.1791103),NA
c(10.192049, 56.1789126),NA
c(10.1919635, 56.1785955),NA
c(10.1919162, 56.1784139),NA
c(10.1918661, 56.1782215),NA
c(10.1918576, 56.1781892),NA
c(10.1918433, 56.1781377),NA
c(10.1918128, 56.1780282),NA
c(10.1917609, 56.1778416),NA
c(10.1917013, 56.1776275),NA
c(10.1916913, 56.1775915),NA
c(10.1916402, 56.1774048),NA
c(10.1915375, 56.1770261),NA
c(10.1915032, 56.1768996),NA
c(10.1914465, 56.1766904),NA
c(10.1913501, 56.1763348),NA
c(10.1912873, 56.1762762),32
c(10.1493428, 56.1256286),33
c(10.1490163, 56.125553),NA
c(10.1475148782626, 56.125192457131),34
c(10.2069081, 56.1563908),35
c(10.2079113, 56.1557897),36
c(10.212189, 56.14118),37
c(10.2113256, 56.1415433),NA
c(10.2112151, 56.1415916),38
c(10.144813391623, 56.134501314419),39
c(10.1459105, 56.1345571),NA
c(10.1459569, 56.1345595),NA
c(10.1460806, 56.1345658),40
c(10.1476948, 56.1321334),41
c(10.1477478, 56.1321337),NA
c(10.1486077, 56.1321383),NA
c(10.1489317, 56.1321384),NA
c(10.1490942, 56.1321384),NA
c(10.1493543, 56.1321385),NA
c(10.149593, 56.1321385),NA
c(10.1498935, 56.1321386),NA
c(10.1501238, 56.1321387),NA
c(10.1502782, 56.1321387),NA
c(10.1516385, 56.1321391),NA
c(10.1522109, 56.1321396),NA
c(10.1523811, 56.1321397),NA
c(10.1526131, 56.1321399),NA
c(10.1536739, 56.1321407),NA
c(10.1538147, 56.1321408),NA
c(10.1541553, 56.1321411),NA
c(10.1556788, 56.1321389),NA
c(10.1558386, 56.1321386),NA
c(10.1558854, 56.1321382),NA
c(10.1561516, 56.1321391),NA
c(10.1564071, 56.1321401),NA
c(10.1566639, 56.132141),NA
c(10.1568422, 56.1321416),NA
c(10.1571385, 56.1321426),42
c(10.1545902, 56.1343829),43
c(10.1551122, 56.1342389),NA
c(10.1556105, 56.1340908),NA
c(10.1556988, 56.1340684),NA
c(10.1558318, 56.1340431),NA
c(10.1563554, 56.134033),NA
c(10.1564904, 56.1337931),NA
c(10.1566083, 56.1334838),NA
c(10.1575982, 56.1315436),NA
c(10.1576123, 56.1315304),NA
c(10.1576534, 56.1314919),NA
c(10.1577054, 56.1314048),44
c(10.221121, 56.1618425),45
c(10.219954, 56.1619355),NA
c(10.2197001, 56.1620229),NA
c(10.2196459, 56.1620457),NA
c(10.2195915, 56.1620692),46
c(10.2047559, 56.1717403),47
c(10.2046803, 56.1717296),48
c(10.1854912, 56.1472879),49
c(10.1836402, 56.1498471),50
